Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
69	protein targeting to membrane (GO:0006612)	0.992627861694752	-1.47569545630682	0.0109193300431365	YBR137W	0.999999999663225	0.322918750866858	0.437930908709849
70	mitochondrion disassembly (GO:0061726)	0.992627861694752	-1.24703497944479	0.00922736900604944	YOR019W	0.999999999663225	0.322918750866858	0.437930908709849
71	phosphate-containing compound metabolic process (GO:0006796)	0.996139077178289	-1.78260776080294	0.00689583170561266	YLR345W	0.999999999663225	0.356088639483881	0.470037004118724
72	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	0.994308305933617	-1.20370752647591	0.00687070656724345	YJL045W	0.999999999663225	0.336382691916767	0.450025493239999
73	cellular respiration (GO:0045333)	0.996840628713686	-1.27522614442286	0.00403529071693504	YBR238C, YJL045W	0.999999999663225	0.131796969199011	0.310664284540526
74	respiratory electron transport chain (GO:0022904)	0.99701936260291	-1.35159375886593	0.0040346267745689	YJL045W	0.999999999663225	0.368906545970999	0.480549316462223
75	membrane fusion (GO:0061025)	0.997699007827088	-1.36030793001895	0.00313366455273715	YHR138C	0.999999999663225	0.381474618019665	0.490467366025284
76	proteolysis (GO:0006508)	0.998439364112112	-1.46411905642059	0.00228674159358089	YOL057W	0.999999999663225	0.399868687134055	0.507525641362454
77	aerobic respiration (GO:0009060)	0.998628830773422	-1.31445895423412	0.00180358245879919	YBR238C	0.999999999663225	0.405880232680023	0.508634721966105
78	proteasomal protein catabolic process (GO:0010498)	0.999445970190048	-1.63401937395167	0.000905546316205265	YIL001W	0.999999999663225	0.446341776962372	0.545528838509565
79	cellular response to oxidative stress (GO:0034599)	0.999542930813678	-1.4985005926726	0.00068507502186698	YJR096W, YDR222W, YDL124W	0.999999999663225	0.0722073686873122	0.284626372677682
80	macroautophagy (GO:0016236)	0.999848276902672	-1.32052354938442	0.000200369123703489	YLR001C	0.999999999663225	0.499502973501031	0.603058468007343
81	transmembrane transport (GO:0055085)	0.999961099248575	-1.31349403477471	5.10968988057337e-05	YBR241C, YDL199C, YDR338C	0.999999999663225	0.114998639084596	0.300906980486903
82	cellular macromolecule biosynthetic process (GO:0034645)	0.999967961079685	-1.47949972069737	4.74023330210037e-05	YGR201C	0.999999999663225	0.556729731027911	0.653631269494939
83	chromatin remodeling (GO:0006338)	0.999971856597824	-1.20650565043505	3.39556515644274e-05	YOR338W	0.999999999663225	0.561198564717877	0.653631269494939
84	nuclear-transcribed mRNA catabolic process (GO:0000956)	0.999993241068193	-1.10917250474859	7.49684665693278e-06	YGR122W	0.999999999663225	0.607536639538864	0.699373573422646
85	endocytosis (GO:0006897)	0.999996896713483	-1.27522873244877	3.95740627181954e-06	YNL194C	0.999999999663225	0.630756436059968	0.717757323792377
86	mitochondrial translation (GO:0032543)	0.999998748845471	-1.33807818898198	1.67414363343284e-06	YDR341C	0.999999999663225	0.656150113426404	0.732081956633913
87	mitochondrial gene expression (GO:0140053)	0.999999034888643	-1.33452336640539	1.28796427809388e-06	YDR341C	0.999999999663225	0.663085963085196	0.732081956633913
88	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.999999853602161	-1.20191740243285	1.75958123474585e-07	YIL001W, YDR306C	0.999999999663225	0.430737801745642	0.533038029660232
89	ubiquitin-dependent protein catabolic process (GO:0006511)	0.999999893821357	-1.33236993989871	1.41469239096605e-07	YIL001W	0.999999999663225	0.716769085469654	0.771305863711911
90	negative regulation of transcription, DNA-templated (GO:0045892)	0.999999962357943	-1.16973275495338	4.40311477670836e-08	YGR122W	0.999999999663225	0.739041233161432	0.786721312720234
91	phosphorylation (GO:0016310)	0.999999984766065	-1.16576161947797	1.77591367452148e-08	YDR248C	0.999999999663225	0.757116340138503	0.797388485890551
92	negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	0.99999999455815	-1.12430271405174	6.11828695775059e-09	YGR122W	0.999999999663225	0.776275812453604	0.80754340332078
93	fungal-type cell wall organization (GO:0031505)	0.999999996290009	-1.37821035155189	5.11314752475564e-09	YNL194C	0.999999999663225	0.783072391098938	0.80754340332078
94	regulation of transcription from RNA polymerase II promoter (GO:0006357)	0.999999999536955	-1.26361044569991	5.85108277460753e-10	YJL206C, YGR122W, YOR338W	0.999999999663225	0.665529051485376	0.732081956633913
95	positive regulation of transcription, DNA-templated (GO:0045893)	0.999999999598485	-1.24144628378716	4.98459909970675e-10	YJL206C, YOR338W	0.999999999663225	0.702783016087523	0.764566138380932
96	regulation of transcription, DNA-templated (GO:0006355)	0.999999999631435	-1.31169815014481	4.83445680262882e-10	YOR338W	0.999999999663225	0.835814638871448	0.844343359676259
97	translation (GO:0006412)	0.999999999603099	-1.17734444325177	4.67289397225531e-10	YDR341C, YGR201C	0.999999999663225	0.806383145050142	0.823009601649114
98	vesicle-mediated transport (GO:0016192)	0.999999999663225	-1.37229606775539	4.6215538476416e-10	YNL194C	0.999999999663225	0.887045464279831	0.887045464279831
99	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	0.999999999589344	-1.12451847762555	4.6179045765549e-10	YJL206C, YMR111C, YOR338W	0.999999999663225	0.513592002716179	0.612597689986768
